1,ADMINISTRATION EXECUTIVE
2,Bartender
3,BUSINESS DEVELOPMENT ASSOCIATE
4,BUSINESS DEVELOPMENT EXECUTIVE
5,CAPTAIN
6,CASH DESK
7,CASHIER
8,CDP
9,CDP 
10,COMMI
11,COMMI 2
12,COMMI II
13,COMMI III
14,COMMI-1
15,COMMI-2
16,COMMI-3
17,COMMII
18,COMMIS
19,D00821
20,DCDP
21,DEALER
22,DEALER 
23,DEALER 1
24,DEALER 2
25,DEALER 3
26,DEALER INSPECTOR
27,DEALER INSPECTOR 1
28,DEALER1
29,DEALERS
30,DRIVER
31,ELECTRICIAN
32,ENGINEERING - ASSOCIATE
33,FLOOR SUPERVISOR
34,FRONT OFFICE ASSOCIATE
35,FRONT OFFICE TRAINEE
36,GUEST RELATION EXECUTIVE
37,HOUSEKEEPING ASSOCIATE
38,HOUSEKEEPING ATTENDANT
39,INSPECTOR
40,INSPECTOR 1
41,INSPECTOR 3
42,JR SOUS CHEF
43,KST STEWARD
44,KST SUP
45,KST SUPERVIOSER
46,KST SUPERVISOR
47,MAANGPATTA VIP Services 
48,OJT
49,ON JOB TRAINEE
50,SCHEDULER
51,SECURITY SUPERVISOR
52,SENIOR ADMINISTRATION EXECUTIVE
53,SENIOR ASSOCIATE WECARE
54,SENIOR DEALER
55,SENIOR DEALER 1
56,SENIOR INSPECTOR
57,SENIOR STEWARD
58,SENIOR SUPERVISOR
59,SOUS CHEF
60,SPA SUPERVISOR
61,SR SECURITY SUPERVISOR
62,Sr. Cashier
63,STEWARD
64,STEWARDESS
65,TRAAINEE DEALER
66,TRAINEE
67,TRAINEE CAPTAIN
68,TRAINEE CASHIER
69,TRAINEE CONCEIRGE
70,TRAINEE DEALER
71,TRAINEE DEALER 
72,TRAINEE FO
73,TRAINEE FRONT OFFICE ASSOCIATE
74,TRAINEE GUEST RELATIONS EXECUTIVE
75,TRAINEE IT EXECUTIVE
76,TRAINEE KST SUPERVISOR
77,TRAINEE SLOT TECHNICIAN
78,TRAINEE UTILITY SUPERVISOR
79,TRAINEE VIP SERVICE ASSOCIATE
80,TRAINEE VIP SERVICES
81,TRAINEE WE CARE ASSOCIATE 
82,TRANEE DEALER 
83,VIP ASSOCIATE